"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI1750";"Brasília";"Cocalzinho de Goiás";"Grupo 4";"Setor Oeste";"1";"500";"Google Earth 2021";"jan-21";"2";;;"4";"3";"3";"4";"3";;"0";"FBDS";"menos de 1%";"2";;"1";"-";"1";;"1";;"1";;"2";"Déficit drenagem pluvial. Algumas ruas sem pavimentação. Esgotamento por fossa.";"de 100 a 700"
"NUI1813";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Montes Claros";"1";"273";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";;;"4";"3";"2";"1";"1";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"1";"Déficit de drenagem pluvial. Titularidade particular.";"de 100 a 700"
"NUI1814";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Jardim de Alá";"1";"1296";"CADUNICO";"2020";"2";"Loteamento regular com necessidade de ajuste entre registro imobiliário e parcelamento de solo. Titularidade particular.";;"4";"2";"2";"2";"3";;"1";"FBDS";;"3";"Alta declividade.";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial, pavimentação asfáltica e esgotamento sanitário. Titularidade particular.";"de 701 a 2.000"
"NUI1811";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Vila Paraíso III";"1";"126";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";;;"4";"3";"3";"1";"1";;"0";;;"3";"Áreas alagadiças ou sujeitas à inundação";"1";"-";"1";;"1";;"1";;"1";"Déficit de drenagem pluvial. Titularidade particular.";"de 100 a 700"
"NUI1812";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Vila São Luiz II";"1";"95";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";;;"4";"3";"3";"2";"1";;"0";;;"3";"Erosão; ocupação em fundo de vale.";"1";"-";"1";;"1";;"1";;"1";"Déficit de drenagem pluvial. Titularidade particular.";"de 51 a 99"
"NUI1817";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Vila União";"1";"33";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"3";"Pontos de erosão; áreas alagadiças ou sujeitas à inundação.";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial, pavimentação asfáltica e esgotamento sanitário. Titularidade particular.";"até 50"
"NUI1818";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Mansões Bittencout";"1";"34";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";;;"4";"3";"2";"2";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"1";"Déficit de drenagem pluvial. Titularidade particular.";"até 50"
"NUI1815";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Aldeia da Paz";"1";"294";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";;;"4";"3";"3";"1";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação asfáltica. Titularidade particular.";"de 100 a 700"
"NUI1816";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Vila Cortes";"1";"215";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"3";"Pontos de erosão.";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação asfáltica. Titularidade particular.";"de 100 a 700"
"NUI1796";"Brasília";"Padre Bernardo";"Grupo 3";"Trajanópolis";"1";"400";"contagem de imagem pelo google earth";"jan-21";"4";"e 2";"Distrito";"4";"2";"1";"4";"1";;"0";"FBDS";"menos de 1%";"2";;"1";"-";"1";;"1";;"1";;"3";"Déficit de drenagem pluvial, abastecimento, iluminação e pavimentação. Esgotamento sanitário por fossa. Desmembramento irregular de chácaras.";"de 100 a 700"
"NUI1797";"Brasília";"Padre Bernardo";"Grupo 3";"Vila Carolina (Taboquinha)";"1";"200";"contagem de imagem pelo google earth";"jan-21";"4";"e 2";"Povoado";"4";"3";"1";"4";"1";;"0";;;"2";;"1";"-";"1";;"2";;"1";;"3";"Déficit de drenagem pluvial, abastecimento, iluminação e pavimentação (algumas ruas). Esgotamento sanitário por fossa. Desmembramento irregular de chácaras";"de 100 a 700"
"NUI1794";"Brasília";"Novo Gama";"Grupo 2";"Lunabel 3, 3A, 3B, Jardim Paiva e Residencial Paiva";"1";"11";"Censo IBGE";"2010";"2";;;"4";"3";"3";"2";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"1";"O total do número de domicílios para os polígonos 10, 11, 12, 13 e 14 é 375. Dado fornecido pelo Secretário, de jan/2020.";"até 50"
"NUI1795";"Brasília";"Novo Gama";"Grupo 2";"Lunabel 3, 3A, 3B, Jardim Paiva e Residencial Paiva";"1";"14";"Censo IBGE";"2010";"2";;;"4";"3";"3";"2";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"1";"O total do número de domicílios para os polígonos 10, 11, 12, 13 e 14 é 375. Dado fornecido pelo Secretário, de jan/2020.";"até 50"
"NUI1809";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Beira Rio II";"1";"61";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";;;"4";"3";"2";"1";"1";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial, esgotamento sanitário e pavimentação asfáltica. Titularidade particular.";"de 51 a 99"
"NUI1810";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Vila Paraíso II";"1";"111";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";"Loteamento regular com necessidade de ajuste entre registro imobiliário e parcelamento de solo.";;"4";"3";"3";"1";"1";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"1";"Déficit de drenagem pluvial.Titularidade particular.";"de 100 a 700"
"NUI1798";"Brasília";"Padre Bernardo";"Grupo 3";"Santa Barbara 1 e 2";"1";"800";"contagem de imagem pelo google earth";"jan-21";"4";"e 2";"Distrito";"4";"2";"1";"4";"3";;"0";;;"2";;"1";"-";"2";;"2";;"2";;"3";"Déficit de drenagem pluvial, iluminação e pavimentação. Esgotamento sanitário por fossa. Desmembramento irregular de chácaras";"de 701 a 2.000"
"NUI1808";"Brasília";"Santo Antônio do Descoberto";"Grupo 3";"Beira Rio";"1";"64";"Plano de Regularização Fundiária Sustentável (Produto 6)";"2015";"2";"Loteamento regular com necessidade de ajuste entre registro imobiliário e parcelamento de solo.";;"4";"3";"2";"1";"1";;"1";"FBDS";;"3";"Áreas alagadiças ou sujeitas à inundação";"1";"-";"1";;"1";;"1";;"1";"Déficit de drenagem pluvial. Titularidade particular.";"de 51 a 99"
"NUI1788";"Brasília";"Novo Gama";"Grupo 2";"Rocinha";"1";"1600";"prefeitura";"jan-21";"1";;;"4";"3";"2";"3";"1";;"0";;;"2";;"1";"-";"2";;"2";;"2";;"3";"Prefeitura informou que o NUI era ZEIS, mas foi considerada a análise de sobreposição do NUI com o zoneamento.";"de 701 a 2.000"
