"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI2224";"Marabá";"Parauapebas";"Grupo 2";"Cidade Nova - Rua 3";"1";"100";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";"inundação";"1";"-";"2";;"2";;"4";"médio/alto padrão";"2";"Intervenção necessária - Remoção";"de 100 a 700"
"NUI2226";"Marabá";"Parauapebas";"Grupo 2";"Maranhão";"1";"153";"CADUNICO";"2020";"1";"Favela com ocupação a partir de undidades habitacionais improvisadas, passíveis de adequação.";;"4";"2";"3";"1";"2";"Área Prioritária para Conservação Ambiental (APCA) e Área Especial de Relevante Interesse Ambiental (AERIA): Sujeita ao controle ambiental";"0";;;"3";"DESLIZAMENTO /
DESLIZAMENTO/MOVIMENTO DE MASSA";"1";"-";"2";;"3";;"2";;"2";"Parte da pop. Deve ser removida por estar em área de risco e parte da área deve receber equipamentos urbanos e serviços e adequação de UH`s. (MATR 051, LOTEAMENTO POREM DESCARACTERIZADO)";"de 100 a 700"
"NUI2222";"Marabá";"Parauapebas";"Grupo 2";"Betânea";"1";"1500";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"2";"2";"5";"Área Protegida - municipal";"0";"FBDS";"menos de 1%";"3";"DESLIZAMENTO/MOVIMENTO DE MASSA";"1";"-";"2";;"2";;"2";;"2";"Intervenção necessária - Adequação de UHs, adequação de sistema viário e regularização urbanística e fundiária do loteamento (REQUALIFICAÇÃO DO AUTO DE DEMERCAÇÃO)";"de 701 a 2.000"
"NUI2223";"Marabá";"Parauapebas";"Grupo 2";"Caetanópolis";"1";"1000";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"2";;"2";;"2";;"2";"Intervenção necessária - equipamentos urbanos e serviços e adequação de Uhs";"de 701 a 2.000"
"NUI2229";"Marabá";"Parauapebas";"Grupo 2";"Nova Vida II";"1";"70";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"2";"2";"5";"Área Protegida - municipal";"1";"Prefeitura";"Mapas do Plano Diretor (2019)";"2";;"1";"-";"2";;"2";;"1";;"2";;"de 51 a 99"
"NUI2230";"Marabá";"Parauapebas";"Grupo 2";"Novo Horizonte";"1";"600";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"3";"2";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"1";;"1";;"4";"Predominam habitações de padrão médio (consolidadas e com dimensões e qualidade aceitáveis);";"2";"Adequação de UH`s, adequação de sistema viário e regularização urbanística e fundiária de loteamento (REGISTRADO S AUTO DE DEMERCAÇÃO)";"de 100 a 700"
"NUI2227";"Marabá";"Parauapebas";"Grupo 2";"Montes Claros";"1";"100";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"2";"2";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";"inundação e deslizamento/movimento de massa";"1";"-";"2";;"3";;"2";;"3";"Intervenção necessária - adequação de UH`s implantação de infraestrutura básica";"de 100 a 700"
"NUI2228";"Marabá";"Parauapebas";"Grupo 2";"Nova Vida I - B";"1";"80";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"2";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"DESLIZAMENTO/MOVIMENTO DE MASSA";"1";"-";"2";;"2";;"2";;"2";;"de 51 a 99"
"NUI2215";"Marabá";"Parauapebas";"Grupo 2";"Res. Dos Minérios";"1";"2000";"Estimativa dos técnicos municipais";"2020";"3";"loteamento popular (MCMV)";;"3";"3";"2";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"alagamento";"1";"-";"1";;"1";;"1";;"1";;"de 701 a 2.000"
"NUI2212";"Marabá";"Parauapebas";"Grupo 2";"Lot. Vila Rica - Res. Vale do Sol";"1";"400";"Estimativa dos técnicos municipais";"2020";"3";;;"3";"3";"2";"1";"5";"Área Protegida - municipal";"1";"s/i";"Pesquisa de Campo";"2";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
