"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI2507";"Porto Alegre";"Gravataí";"Grupo 2";"Parque Do Sol";"1";"40";"Prefeitura";"2017";"1";;;"4";"3";"2";"4";"1";;"0";;;"1";;"1";"-";"1";;"1";;"1";;"1";;"até 50"
"NUI2508";"Porto Alegre";"Gravataí";"Grupo 2";"Miraflores";"1";"504";"Prefeitura";"2017";"2";;;"4";"1";"1";"4";"1";;"1";"FBDS";;"1";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI2509";"Porto Alegre";"Gravataí";"Grupo 2";"Cruzeiro Ii_Rua Zaire";"1";"130";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI2510";"Porto Alegre";"Gravataí";"Grupo 2";"Cruzeiro Ii_Rua Venezuela";"1";"16";"Prefeitura";"2017";"1";;;"4";"2";"3";"4";"1";;"0";;;"1";;"1";"-";"2";;"4";;"2";;"2";;"até 50"
"NUI2511";"Porto Alegre";"Gravataí";"Grupo 2";"Parque Florido";"1";"117";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"1";"FBDS";;"3";"Arroio - Indicado pela prefeitura";"1";"-";"3";;"4";;"2";;"2";;"de 100 a 700"
"NUI2512";"Porto Alegre";"Gravataí";"Grupo 2";"Vila Rica_Lagoa Formosa";"1";"60";"Prefeitura";"2017";"1";;;"4";"3";"2";"4";"1";;"1";"FBDS";;"1";;"1";"-";"2";;"4";;"2";;"2";;"de 51 a 99"
"NUI2513";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Judas Tadeu_R Henrique Dias_Valco Alves";"1";"25";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"1";;"1";;"1";;"1";;"até 50"
"NUI2514";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Judas Tadeu I - Area Verde";"1";"28";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"4";;"4";;"1";;"1";;"até 50"
"NUI2515";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Judas Tadeu II";"1";"8";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"2";;"1";"-";"4";;"4";;"1";;"1";;"até 50"
"NUI2516";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Judas Tadeu III_Barnabe_Padre Chagas";"1";"13";"Prefeitura";"2017";"1";;;"4";"2";"3";"4";"1";;"1";"FBDS";;"3";"Indicado pela prefeitura";"1";"-";"4";;"4";;"1";;"1";;"até 50"
"NUI2517";"Porto Alegre";"Gravataí";"Grupo 2";"Fundos Do Bom Fim_Tr Manoel Link";"1";"22";"Prefeitura";"2017";"1";;;"4";"2";"3";"4";"1";;"1";"FBDS";;"1";;"1";"-";"2";;"1";;"1";;"1";;"até 50"
"NUI2518";"Porto Alegre";"Gravataí";"Grupo 2";"Bom Fim_Area Praca";"1";"18";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"4";;"4";;"1";;"1";;"até 50"
"NUI2519";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Jeronimo 2";"1";"57";"Prefeitura";"2017";"1";;;"4";"3";"2";"4";"1";;"1";"FBDS";;"1";;"1";"-";"2";;"4";;"1";;"1";;"de 51 a 99"
"NUI2520";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Jeronimo - R Angico";"1";"14";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"2";"Ocupacao ao longo de uma via";"1";;"1";;"1";;"até 50"
"NUI2521";"Porto Alegre";"Gravataí";"Grupo 2";"Cohab B";"1";"72";"CADUNICO";"2020";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"2";;"2";;"1";;"1";;"de 51 a 99"
"NUI2522";"Porto Alegre";"Gravataí";"Grupo 2";"Cohab B - RT4";"1";"9";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"2";"Ocupacao ao longo de uma via";"2";;"1";;"1";;"até 50"
"NUI2523";"Porto Alegre";"Gravataí";"Grupo 2";"Monte Belo";"1";"19";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"4";;"4";;"1";;"1";;"até 50"
"NUI2524";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Joao";"1";"60";"Prefeitura";"2017";"2";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"1";;"1";;"1";;"2";;"de 51 a 99"
"NUI2525";"Porto Alegre";"Gravataí";"Grupo 2";"Monte Claro";"1";"92";"Prefeitura";"2017";"2";;;"4";"3";"2";"4";"1";;"1";"FBDS";;"1";;"1";"-";"1";;"1";;"1";;"1";;"de 51 a 99"
"NUI2529";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Geraldo Dom Pedro II";"1";"31";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"2";;"4";;"1";;"1";;"até 50"
"NUI2527";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Geraldo I Campo do America";"1";"140";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"3";;"4";;"2";;"3";;"de 100 a 700"
"NUI2526";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Geraldo I Praca da Bandeira";"1";"160";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"2";;"4";;"2";;"2";;"de 100 a 700"
"NUI2528";"Porto Alegre";"Gravataí";"Grupo 2";"Sao Geraldo III 25 Fevereiro";"1";"11";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"1";"IPEA";"imagem de satélite";"1";;"1";"-";"2";;"2";;"1";;"2";;"até 50"
"NUI2530";"Porto Alegre";"Gravataí";"Grupo 2";"Joao Maria da Fonseca Beco I E II Centro";"1";"40";"Prefeitura";"2017";"1";;;"4";"3";"2";"4";"1";;"1";"FBDS";;"1";;"1";"-";"2";;"1";;"1";;"2";;"até 50"
"NUI2531";"Porto Alegre";"Gravataí";"Grupo 2";"Vila Bela";"1";"50";"Prefeitura";"2017";"2";;;"4";"3";"3";"4";"1";;"0";;;"1";;"1";"-";"1";;"1";;"1";;"2";;"até 50"
"NUI2532";"Porto Alegre";"Gravataí";"Grupo 2";"Aguas Claras";"1";"35";"Prefeitura";"2017";"1";;;"4";"2";"3";"4";"1";;"1";"FBDS";;"3";"Arroio - Indicado pela prefeitura";"1";"-";"2";;"4";;"1";;"1";;"até 50"
"NUI2533";"Porto Alegre";"Gravataí";"Grupo 2";"Diva Lessa De Jesus";"1";"55";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"1";"FBDS";;"1";;"1";"-";"2";;"4";;"2";;"1";;"de 51 a 99"
"NUI2534";"Porto Alegre";"Gravataí";"Grupo 2";"Santa Cruz - Praca Rua Triangulo";"1";"20";"Prefeitura";"2017";"1";;;"4";"3";"2";"4";"1";;"0";;;"1";;"1";"-";"2";;"4";;"1";;"2";;"até 50"
"NUI2535";"Porto Alegre";"Gravataí";"Grupo 2";"Padre Reus";"1";"932";"Prefeitura";"2017";"2";;;"4";"3";"1";"4";"1";;"1";"IPEA";"leitura de imagem";"3";"Indicado pela prefeitura";"1";"-";"1";;"1";;"1";;"2";;"de 701 a 2.000"
"NUI2536";"Porto Alegre";"Gravataí";"Grupo 2";"Antonio Carlos Jobim_15Ha";"1";"430";"Prefeitura";"2017";"2";;;"4";"2";"3";"4";"1";;"1";"FBDS";;"3";"Indicado pela prefeitura";"1";"-";"2";;"1";;"2";;"2";;"de 100 a 700"
"NUI2537";"Porto Alegre";"Gravataí";"Grupo 2";"Antonio Carlos Jobim_7Ha_Area Cooperativa";"1";"283";"Prefeitura";"2017";"2";;;"4";"3";"2";"4";"1";;"0";;;"1";;"1";"-";"2";;"1";;"2";;"2";;"de 100 a 700"
"NUI2538";"Porto Alegre";"Gravataí";"Grupo 2";"Ceramica Stella_R Afonso Arinos";"1";"278";"Prefeitura";"2017";"1";;;"4";"3";"3";"4";"1";;"1";"FBDS";;"3";"Indicado pela prefeitura";"1";"-";"2";;"1";;"2";;"3";;"de 100 a 700"
"NUI2539";"Porto Alegre";"Gravataí";"Grupo 2";"Cledi_1";"1";"47";"Prefeitura";"2017";"1";;;"4";"2";"2";"4";"1";;"1";"IPEA";"imagem de satélite";"1";;"1";"-";"2";;"4";;"1";;"2";;"até 50"
"NUI2540";"Porto Alegre";"Gravataí";"Grupo 2";"Cledi_2";"1";"20";"Prefeitura";"2017";"1";;;"4";"3";"2";"4";"1";;"0";;;"1";;"1";"-";"2";;"4";;"1";;"2";;"até 50"
"NUI2541";"Porto Alegre";"Gravataí";"Grupo 2";"Granville";"1";"68";"Prefeitura";"2017";"1";;;"4";"3";"2";"4";"1";;"1";"FBDS";;"1";;"1";"-";"1";;"2";;"1";;"2";;"de 51 a 99"
