"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI1327";"Belo Horizonte";"Santa Luzia";"Grupo 2";"Área doada no Bairro Frimisa";"3.PMRF";"4";"Censo IBGE";"2010";"1";;;"4";"3";"2";"2";"1";;"0";;;"1";;"2";"-";"1";;"2";;"4";"Não foram reportadas.";"4";;"até 50"
"NUI1328";"Belo Horizonte";"Santa Luzia";"Grupo 2";"São Cosme";"3.IBGE";"286";"Aglomerados Subnormais 2019";"2020";"1";;;"4";"2";"3";"2";"1";;"1";"FBDS";;"1";;"2";"-";"2";;"1";;"4";;"4";;"de 100 a 700"
"NUI1325";"Belo Horizonte";"Santa Luzia";"Grupo 2";"Santa Rita";"3.PMRF";"12";"Censo IBGE";"2010";"2";;;"4";"1";"2";"2";"1";;"0";;;"1";;"4";"1";"1";;"1";;"4";"Não foram reportadas.";"4";;"até 50"
"NUI1326";"Belo Horizonte";"Santa Luzia";"Grupo 2";"Parcelamento área verde Frimisa";"3.PMRF";"7";"Censo IBGE";"2010";"1";;;"4";"3";"2";"2";"1";;"0";;;"1";;"2";"-";"1";;"2";;"4";"Não foram reportadas.";"4";;"até 50"
"NUI1329";"Belo Horizonte";"Santa Luzia";"Grupo 2";"Cachmbeiros";"3.IBGE";"290";"Aglomerados Subnormais 2019";"2020";"1";;;"3";"1";"2";"2";"1";;"1";"FBDS";;"1";;"2";"-";"2";;"1";;"4";;"4";;"de 100 a 700"
"NUI0919";"Belo Horizonte";"Mário Campos";"Grupo 4";"Bairro Bambuí";"3.PMRF";"20";"PMRF";"2009";"2";;;"4";"3";"3";"1";"1";;"0";"FBDS";"menos de 1%";"2";;"1";"-";"1";;"3";;"1";;"2";;"até 50"
"NUI0914";"Belo Horizonte";"Mário Campos";"Grupo 4";"Vila Ondina";"3.PMRF";"200";"PMRF";"2009";"2";;;"4";"3";"3";"2";"1";;"0";;;"2";;"1";"-";"1";;"2";;"1";;"1";;"de 100 a 700"
"NUI0938";"Belo Horizonte";"Mateus Leme";"Grupo 3";"Serra Azul";"3.PMRF";"435";"PMRF";"2010";"4";;;"4";"3";"1";"2";"5";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"1";;"de 100 a 700"
"NUI0924";"Belo Horizonte";"Mário Campos";"Grupo 4";"Reta do Jacaré";"3.PMRF";"200";"PMRF";"2009";"2";;;"4";"2";"2";"1";"1";;"1";"FBDS";;"2";;"1";"-";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI0927";"Belo Horizonte";"Mateus Leme";"Grupo 3";"Jardim Serra Azul";"3.PMRF";"170";"PMRF";"2010";"2";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"3";"apresenta alto risco à vida";"1";"-";"1";;"1";;"4";;"4";;"de 100 a 700"
"NUI0926";"Belo Horizonte";"Mário Campos";"Grupo 4";"Favela no Bairro São Tarcísio";"3.PMRF";"12";"PMRF";"2009";"1";;;"4";"3";"3";"2";"1";;"1";"FBDS";;"2";;"1";"-";"2";;"4";;"4";;"2";;"até 50"
