"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI2049";"Juazeiro do Norte";"Várzea Alegre";"Grupo 3";"Sanharol UBS";"1";"19";"Censo IBGE";"2010";"2";"-";"-";"4";"2";"1";"4";"1";;"0";;;"2";"-";"1";"-";"2";"-";"3";"-";"1";"-";"2";"Sanharol é um bairro grande (família proprietária foi ocupando a área). Moram pessoas de bom poder aquisitivo, mas no trecho da UBS (perto da Vila Chique) é mais carente. Não tem calçamento, nem esgoto.";"até 50"
"NUI2050";"Juazeiro do Norte";"Várzea Alegre";"Grupo 3";"Grossos";"1";"800";"Estimativa prefeitura";"2021";"2";"-";"-";"4";"2";"2";"4";"1";;"1";"FBDS";;"1";"-";"1";"-";"2";"-";"1";"-";"1";"-";"2";"Ruas não tem pavimentação, nem esgoto. É uma região de várzea, mas este trecho é mais alto. Tem uma lagoa dentro do loteamento, mas as casas não avançam para a área alagadiça. Tem casas boas, comércios grandes, já tem escola, posto de saúde";"de 701 a 2.000"
"NUI2047";"Juazeiro do Norte";"Várzea Alegre";"Grupo 3";"Bairro Riachinho";"1";"700";"Estimativa prefeitura";"2020";"2";"-";"-";"4";"2";"3";"4";"1";;"1";"FBDS";;"3";"inundação e deslizamento";"1";"-";"1";"-";"1";"-";"1";"-";"2";"riacho foi canalizado com recursos do PAC";"de 100 a 700"
"NUI2048";"Juazeiro do Norte";"Várzea Alegre";"Grupo 3";"Vila Chique";"1";"200";"Estimativa prefeitura";"2020";"2";"-";"-";"4";"2";"1";"4";"1";;"0";;;"2";"-";"1";"-";"2";"-";"3";"-";"1";"-";"2";"É uma área de chapada (alta). 
Não tem esgoto, calçamento.";"de 100 a 700"
"NUI2021";"Juazeiro do Norte";"Nova Olinda";"Grupo 4";"Terreiro Duro";"1";"225";"Censo IBGE";"2010";"2";"-";"-";"4";"2";"2";"4";"1";;"0";;;"2";"-";"1";"-";"1";"-";"1";"-";"2";"-";"2";"Tem escola, posto de saúde. Tem água e luz e não tem saneamento. Maioria das ruas são pavimentadas.";"de 100 a 700"
"NUI2020";"Juazeiro do Norte";"Nova Olinda";"Grupo 4";"Portelinha";"1";"195";"Censo IBGE";"2010";"3";"-";"-";"4";"2";"2";"4";"1";;"0";;;"2";"-";"1";"-";"1";"-";"1";"-";"1";"-";"1";"Terreno doado pela prefeitura com casas básicas, que 
Só precisa de regularização fundiária.";"de 100 a 700"
"NUI2051";"Juazeiro do Norte";"Várzea Alegre";"Grupo 3";"Açude Varjota";"1";"325";"CADUNICO";"2020";"2";"-";"-";"4";"1";"2";"4";"1";;"1";"Prefeitura";"ocupação de área de várzea do Açude";"3";"alagamento das casas";"1";"-";"2";"-";"1";"-";"2";"-";"2";"Lotes são particulares. Área de expansão da cidade na direção da área do açude.";"de 100 a 700"
"NUI2052";"Juazeiro do Norte";"Várzea Alegre";"Grupo 3";"Conjunto Habitacional Antonio Costa";"1";"69";"Censo IBGE";"2010";"3";"-";"-";"4";"3";"3";"4";"1";;"1";"FBDS";;"3";"inundação (casas construídas na várzea)";"1";"-";"1";"-";"1";"-";"1";"-";"1";"Conjunto construído pela prefeitura. Área já foi regularizada, mas casas inundam em períodos de cheia do canal.";"de 51 a 99"
"NUI2039";"Juazeiro do Norte";"Santana do Cariri";"Grupo 4";"Bálsamo";"1";"144";"Censo IBGE";"2010";"4";"-";"-";"4";"2";"1";"4";"1";;"0";"FBDS";"menos de 1%";"2";"-";"1";"-";"3";"-";"1";"-";"2";"-";"3";"-";"de 100 a 700"
"NUI2041";"Juazeiro do Norte";"Santana do Cariri";"Grupo 4";"Rua Expedito Fco José de Brito";"1";"573";"Censo IBGE";"2010";"3";"-";"-";"4";"2";"3";"4";"1";;"0";;;"2";"-";"1";"-";"1";"-";"2";"-";"1";"-";"2";"-";"de 100 a 700"
