"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI4765";"Recife";"Recife";"Grupo 1";"Sítio do Cardoso";"1";"941";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"1";;"0";;;"3";"alagamento";"3";"2";"2";;"2";;"1";;"1";;"de 701 a 2.000"
"NUI4766";"Recife";"Recife";"Grupo 1";"Sítio do Forte/ Coréia";"1";"312";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"2";"1";;"0";;;"3";"alagamento";"3";"1";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI4763";"Recife";"Recife";"Grupo 1";"Sítio das Palmeiras";"1";"874";"CIS/Prefeitura";"2014";"2";;;"4";"3";"3";"1";"1";;"0";;;"2";;"3";"1";"2";;"2";;"2";;"2";;"de 701 a 2.000"
"NUI4764";"Recife";"Recife";"Grupo 1";"Sítio do Berardo";"1";"1207";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"1";;"0";;;"3";"alagamento";"3";"1";"2";;"2";;"1";;"1";;"de 701 a 2.000"
"NUI4769";"Recife";"Recife";"Grupo 1";"Sítio dos Pintos";"1";"430";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"2";"3";;"0";;;"2";;"4";"2";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI4770";"Recife";"Recife";"Grupo 1";"Sítio Grande";"1";"1313";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"3";;"1";"FBDS";;"2";;"3";"1";"2";;"2";;"1";;"1";;"de 701 a 2.000"
"NUI4767";"Recife";"Recife";"Grupo 1";"Sítio do Rosário";"1";"651";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"3";"1";;"1";"FBDS";;"2";;"4";"2";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI4768";"Recife";"Recife";"Grupo 1";"Sítio do Valença";"1";"23";"CIS/Prefeitura";"2014";"1";;;"3";"2";"3";"3";"1";;"1";"FBDS";;"2";;"3";"1";"2";;"1";;"1";;"1";;"até 50"
"NUI4757";"Recife";"Recife";"Grupo 1";"Saramandaia";"1";"544";"CIS/Prefeitura";"2014";"3";"e 1";;"4";"3";"3";"1";"1";;"1";"FBDS";;"3";"alagamento";"3";"1";"3";;"3";;"2";;"2";;"de 100 a 700"
"NUI4758";"Recife";"Recife";"Grupo 1";"Serra Pelada";"1";"112";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"3";;"0";;;"2";;"4";"2";"2";;"1";;"1";;"1";;"de 100 a 700"
"NUI4755";"Recife";"Recife";"Grupo 1";"São João";"1";"996";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"2";"1";;"1";"FBDS";;"2";;"3";"1";"1";;"2";;"2";;"2";;"de 701 a 2.000"
"NUI4756";"Recife";"Recife";"Grupo 1";"Sapo Nú";"1";"441";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"2";"1";;"0";;;"3";"alagamento";"2";"-";"1";;"3";;"3";;"3";;"de 100 a 700"
"NUI4761";"Recife";"Recife";"Grupo 1";"Sigismundo";"1";"152";"CADUNICO";"2020";"1";;;"4";"3";"3";"1";"1";;"0";;;"2";;"3";"1";"2";;"1";;"1";;"1";;"de 100 a 700"
"NUI4762";"Recife";"Recife";"Grupo 1";"Sítio das Mangueiras";"1";"242";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"3";;"1";"FBDS";;"3";"alagamento";"3";"2";"1";;"3";;"3";;"3";;"de 100 a 700"
"NUI4759";"Recife";"Recife";"Grupo 1";"Sete Mucambos";"1";"175";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"2";"1";;"0";;;"2";;"3";"2";"1";;"3";;"3";;"3";;"de 100 a 700"
"NUI4760";"Recife";"Recife";"Grupo 1";"Setor 7/ Estância";"1";"60";"CIS/Prefeitura";"2014";"1";;;"2";"1";"3";"2";"1";;"1";"FBDS";;"3";"alagamento";"3";"2";"1";;"3";;"3";;"3";;"de 51 a 99"
"NUI4749";"Recife";"Recife";"Grupo 1";"Salinas";"1";"388";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"3";;"1";"FBDS";;"2";;"3";"1";"1";;"3";;"2";;"2";;"de 100 a 700"
"NUI4750";"Recife";"Recife";"Grupo 1";"Sancho";"1";"1065";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"3";"1";;"1";"FBDS";;"2";;"4";"2";"2";;"1";;"1";;"1";;"de 701 a 2.000"
"NUI4747";"Recife";"Recife";"Grupo 1";"Rua Virgem Linda";"1";"585";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"2";"1";;"0";;;"2";;"4";"2";"1";;"3";;"3";;"3";;"de 100 a 700"
"NUI4748";"Recife";"Recife";"Grupo 1";"Rua Visconde de Alcântara";"1";"438";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"1";;"0";;;"3";"escorregam";"3";"2";"2";;"2";;"1";;"1";;"de 100 a 700"
"NUI4753";"Recife";"Recife";"Grupo 1";"Santa Terezinha/ Beco dos Casados";"1";"723";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"2";;"3";"1";"2";;"2";;"1";;"1";;"de 701 a 2.000"
"NUI4754";"Recife";"Recife";"Grupo 1";"Santo Amaro/ Sítio do Céu";"1";"2025";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"2";;"3";"1";"3";;"1";;"1";;"1";;"mais que 2.000"
